GameID,AppID,Name,Playtime (Hours),Release Date,Short Description,Genres,Price (USD),Cover Image Path,Ranking,Cover Path,Release Year,Enjoyment Score,Gameplay Score,Music Score,Narrative Score,MetaCritic Score,Rating Deviation,Enjoyment Order,Gameplay Order,Music Order,Narrative Order,MetaCritic Order
1,251570,7 Days to Die,12.85,25-Jul-24,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!","Action, Adventure, Indie, RPG, Simulation, Strategy",44.99 USD,C:/Users/jakob/Downloads/SteamData\7 Days to Die.png,,,,,,,,,,,,,,
2,1055540,A Short Hike,0.25,30-Jul-19,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.","Adventure, Indie",7.99 USD,C:/Users/jakob/Downloads/SteamData\A Short Hike.png,117,,2021,7.5,,,,-,,116,116,116,116,116
3,278360,A Story About My Uncle,1.48,28-May-14,"A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. The movement is a crucial part of the games core gameplay – focusing on swinging through the world with a grappling hook that gives the player a wonderful sense of speed and...","Adventure, Casual, Indie",14.99 USD,C:/Users/jakob/Downloads/SteamData\A Story About My Uncle.png,,,,,,,,,,,,,,
4,427410,Abiotic Factor,37.23,22-Jul-25,"Abiotic Factor is a survival crafting experience for 1-6 players set in the depths of an underground research facility. Caught between paranormal containment failure, a military crusade, and chaos from a dozen realms, the world’s greatest minds must survive against the universe’s biggest threats.","Action, Adventure, RPG, Simulation",34.99 USD,C:/Users/jakob/Downloads/SteamData\Abiotic Factor.png,34,,2024,8.5,,,,8.8,-0.3,33,33,33,33,33
5,221380,Age of Empires II (2013),11.77,9-Apr-13,"Age of Empires II has been re-imagined in high definition. With the release of Age of Empires II: Definitive Edition, this product will not be updated further.",Strategy,19.99 USD,C:/Users/jakob/Downloads/SteamData\Age of Empires II (2013).png,,,,,,,,,,,,,,
6,226840,Age of Wonders III,10.33,31-Mar-14,"Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!","RPG, Strategy",29.99 USD,C:/Users/jakob/Downloads/SteamData\Age of Wonders III.png,,,,,,,,,,,,,,
7,945360,Among Us,0,16-Nov-18,An online and local party game of teamwork and betrayal for 4-15 players...in space!,Casual,2.99 USD,C:/Users/jakob/Downloads/SteamData\Among Us.png,,,,,,,,,,,,,,
8,1808500,ARC Raiders,6.07,30-Oct-25,"ARC Raiders is a multiplayer extraction adventure, set in a lethal future earth, ravaged by a mysterious mechanized threat known as ARC.",Action,39.99 USD,C:/Users/jakob/Downloads/SteamData\ARC Raiders.png,,,,,,,,,,,,,,
9,342180,Arizona Sunshine,14.98,6-Dec-16,"Built exclusively for VR, Arizona Sunshine® puts you and up to 3 fellow survivors in the midst of a zombie apocalypse. Survive solo or in co-op, handle weapons with real-life movements, and explore a post-apocalyptic world in VR. Putting the undead back to rest is more thrilling than ever before.","Action, Adventure, Indie",19.99 USD,C:/Users/jakob/Downloads/SteamData\Arizona Sunshine.png,,,,,,,,,,,,,,
10,346110,ARK: Survival Evolved,52.08,27-Aug-17,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","Action, Adventure, Indie, Massively Multiplayer, RPG",14.99 USD,C:/Users/jakob/Downloads/SteamData\ARK Survival Evolved.png,125,,2015,7,,,,,,124,124,124,124,124
11,407530,ARK: Survival Of The Fittest,0,29-Aug-17,"ARK: The Survival of the Fittest is a prototype spin-off of ARK: Survival Evolved, pitting up to 60 combatants against each other in a fast-paced, action-packed struggle for survival, where players are ultimately pushed into an epic final showdown leading their Dinosaur Armies into battle.","Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy",Free or Unknown,C:/Users/jakob/Downloads/SteamData\ARK Survival Of The Fittest.png,,,,,,,,,,,,,,
12,107410,Arma 3,75.37,12-Sep-13,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","Action, Simulation, Strategy",7.49 USD,C:/Users/jakob/Downloads/SteamData\Arma 3.png,,,,,,,,,,,,,,
13,244210,Assetto Corsa,13.22,19-Dec-14,"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!","Indie, Racing, Simulation, Sports",19.99 USD,C:/Users/jakob/Downloads/SteamData\Assetto Corsa.png,,,,,,,,,,,,,,
14,361420,ASTRONEER,5.82,5-Feb-19,"Interact with strange new worlds in a unique and tactile way, molding the environment itself as if it were clay in your hands. Build your base, master resource management, automate your production lines, and more as you unravel the mysteries of the universe, alone or with friends.","Adventure, Indie",29.99 USD,C:/Users/jakob/Downloads/SteamData\ASTRONEER.png,,,,,,,,,,,,,,
