Ranking,Game,Cover Path,Release Year,Enjoyment Score,Gameplay Score,Music Score,Narrative Score,MetaCritic Score,Rating Deviation,Enjoyment Order,Gameplay Order,Music Order,Narrative Order,MetaCritic Order
1,The Outer Wilds,/static/covers/the_outer_wilds.png,2019,10,10,10,10,8.5,1.5,0,0,0,0,0
2,Subnautica,/static/covers/subnautica.png,2018,10,10,9,9.5,8.7,1.3,1,1,1,1,1
3,Clair Obscur: Expidition 33,/static/covers/clair_obscur_expidition_33.png,2024,10,9,10,9.5,9.2,0.8,2,2,2,2,2
4,Baldur's Gate 3,/static/covers/baldur_s_gate_3.png,2023,9.5,10,9,9,9.6,-0.1,3,3,3,3,3
5,Skyrim,/static/covers/skyrim.png,2011,9.5,9,9,9.5,9.4,0.1,4,4,4,4,4
6,The Witcher 3,/static/covers/the_witcher_3.png,2015,9.5,,10,,9.2,0.3,5,5,5,5,5
7,Kerbal Space Program,/static/covers/kerbal_space_program.png,2015,9.5,10,,,9,0.5,6,6,6,6,6
8,FTL,/static/covers/ftl.png,2012,9,,,,9,0.0,7,7,7,7,7
9,Inscryption,/static/covers/inscryption.png,2021,9,,,,8.5,0.5,8,8,8,8,8
10,Red Dead Redemption 2,/static/covers/red_dead_redemption_2.png,2018,9,,,,9.7,-0.7,9,9,9,9,9
11,Slay the Spire,/static/covers/slay_the_spire.png,2017,9,,,,9.5,-0.5,10,10,10,10,10
12,Legend of Zelda: Tears of the Kingdom,/static/covers/legend_of_zelda_tears_of_the_kingdom.png,2023,9,,,,9.7,-0.7,11,11,11,11,11
13,Legend of Zelda: Breath of the Wild,/static/covers/legend_of_zelda_breath_of_the_wild.png,2017,9,,,,9.7,-0.7,12,12,12,12,12
14,Hades,/static/covers/hades.png,2020,9,,,,9.3,-0.3,13,13,13,13,13
15,Half-Life: Alex,/static/covers/half_life_alex.png,2020,9,,,,9.3,-0.3,14,14,14,14,14
16,Hades 2,/static/covers/hades_2.png,2024,9,,,,9.4,-0.4,15,15,15,15,15
17,Portal 2,/static/covers/portal_2.png,2011,9,,,,9.5,-0.5,16,16,16,16,16
18,Terraria,/static/covers/terraria.png,2011,9,,,,8.1,0.9,17,17,17,17,17
19,Dave the Diver,/static/covers/dave_the_diver.png,2023,9,,,,9,0.0,18,18,18,18,18
20,Super Mario Sunshine,/static/covers/super_mario_sunshine.png,2002,9,,,,9.2,-0.2,19,19,19,19,19
21,Super Mario Galaxy,/static/covers/super_mario_galaxy.png,2007,9,,,,9.7,-0.7,20,20,20,20,20
22,Dredge,/static/covers/dredge.png,2023,9,,,,8,1.0,21,21,21,21,21
23,Harvest Moon: Friends of Mineral Town,/static/covers/harvest_moon_friends_of_mineral_town.png,2003,9,,,,8.2,0.8,22,22,22,22,22
24,GTA V,/static/covers/gta_v.png,2013,9,,,,9.7,-0.7,23,23,23,23,23
25,Pokemon Emerald,/static/covers/pokemon_emerald.png,2004,9,,,,7.6,1.4,24,24,24,24,24
26,Paper Mario: The Thousand Year Door,/static/covers/paper_mario_the_thousand_year_door.png,2004,9,,,,8.8,0.2,25,25,25,25,25
27,Stardew Valley,/static/covers/stardew_valley.png,2016,9,,,,8.9,0.1,26,26,26,26,26
28,For the King,/static/covers/for_the_king.png,2018,9,,,,7.9,1.1,27,27,27,27,27
29,God of War,/static/covers/god_of_war.png,2018,9,,,,9.4,-0.4,28,28,28,28,28
30,Balatro,/static/covers/balatro.png,2024,9,,,,9,0.0,29,29,29,29,29
31,Divinity: Original Sin 2,/static/covers/divinity_original_sin_2.png,2017,9,,,,9.3,-0.3,30,30,30,30,30
32,Split Fiction,/static/covers/split_fiction.png,2024,8.5,,,,9.1,-0.6,31,31,31,31,31
33,Roboquest,/static/covers/roboquest.png,2022,8.5,,,,8.5,0.0,32,32,32,32,32
34,Abiotic Factor,/static/covers/abiotic_factor.png,2024,8.5,,,,8.8,-0.3,33,33,33,33,33
35,Binding of Isaac,/static/covers/binding_of_isaac.png,2011,8.5,,,,8.8,-0.3,34,34,34,34,34
36,Cuphead,/static/covers/cuphead.png,2017,8.5,,,,8.6,-0.1,35,35,35,35,35
37,For the King 2,/static/covers/for_the_king_2.png,2024,8.5,,,,7.8,0.7,36,36,36,36,36
38,Mount and Blade: Bannerlord,/static/covers/mount_and_blade_bannerlord.png,2020,8.5,,,,7.7,0.8,37,37,37,37,37
39,Pavlov,/static/covers/pavlov.png,2017,8.5,,,,-,,38,38,38,38,38
40,Raft,/static/covers/raft.png,2018,8.5,,,,8,0.5,39,39,39,39,39
41,Risk of Rain 2,/static/covers/risk_of_rain_2.png,2020,8.5,,,,8.5,0.0,40,40,40,40,40
42,Spelunky,/static/covers/spelunky.png,2013,8.5,,,,8.7,-0.2,41,41,41,41,41
43,Spelunky 2 ,/static/covers/spelunky_2.png,2020,8.5,,,,8.7,-0.2,42,42,42,42,42
44,Stonehearth,/static/covers/stonehearth.png,2015,8.5,,,,7,1.5,43,43,43,43,43
45,Stray,/static/covers/stray.png,2022,8.5,,,,8.3,0.2,44,44,44,44,44
46,Command and Conquer: Generals,/static/covers/command_and_conquer_generals.png,2003,8.5,,,,8.4,0.1,45,45,45,45,45
47,Satisfactory,/static/covers/satisfactory.png,2020,8.5,,,,9.1,-0.6,46,46,46,46,46
48,The Forest,/static/covers/the_forest.png,2014,8.5,,,,8.3,0.2,47,47,47,47,47
49,Death Stranding 2,/static/covers/death_stranding_2.png,2025,8.5,,,,8.9,-0.4,48,48,48,48,48
50,Far Cry 4,/static/covers/far_cry_4.png,2014,8.5,,,,8.5,0.0,49,49,49,49,49
51,Control,/static/covers/control.png,2019,8.5,,,,8.5,0.0,50,50,50,50,50
52,Kirby Air Ride,/static/covers/kirby_air_ride.png,2003,8.5,,,,6.1,2.4,51,51,51,51,51
53,Pokemon Diamond,/static/covers/pokemon_diamond.png,2006,8.5,,,,8.5,0.0,52,52,52,52,52
54,Mario Kart: Double Dash,/static/covers/mario_kart_double_dash.png,2003,8.5,,,,8.7,-0.2,53,53,53,53,53
55,Mario Party 5,/static/covers/mario_party_5.png,2003,8.5,,,,7,1.5,54,54,54,54,54
56,Bioshock Infinite,/static/covers/bioshock_infinite.png,2013,8.5,,,,9.4,-0.9,55,55,55,55,55
